,economy,regionwb,pop_scaled_wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,fin14_1,fin16,fin17a,fin17b,fin22a,fin22b,fin24,fin33,receive_wages,pay_utilities,remittances,mobileowner,internetaccess,merchantpay_dig,receive_welfare_payments,internet_fin_transc
75137,Morocco,1,15061.826834568465,2,19.0,1,5,1.0,,0,2,2,2,1.0,2,2,1,2.0,2,4,5.0,1,1,0.0,2,2
75145,Morocco,1,8749.489633149396,2,26.0,3,5,1.0,,1,1,2,2,1.0,2,1,3,2.0,1,2,5.0,1,1,1.0,2,1
75146,Morocco,1,8224.860852126609,2,29.0,1,5,1.0,,0,2,2,2,1.0,2,1,3,2.0,2,2,3.0,1,1,0.0,2,2
75159,Morocco,1,32447.815031839356,2,22.0,1,2,1.0,,1,1,2,2,2.0,2,2,7,2.0,2,2,5.0,1,1,1.0,2,2
75161,Morocco,1,9025.989068296121,1,29.0,2,5,1.0,,1,2,2,2,1.0,2,1,3,1.0,1,4,5.0,1,1,1.0,2,1
75162,Morocco,1,20447.006345950867,2,17.0,1,4,1.0,,0,2,2,2,2.0,2,1,2,2.0,2,4,5.0,1,1,0.0,2,2
75165,Morocco,1,77037.43225718667,1,51.0,1,2,1.0,,0,2,2,2,2.0,2,1,7,2.0,2,4,5.0,1,1,0.0,2,2
75166,Morocco,1,8224.860852126609,2,28.0,2,3,1.0,,0,2,2,2,2.0,2,1,2,2.0,2,2,2.0,1,1,0.0,2,2
75167,Morocco,1,50806.52404543507,2,51.0,1,4,2.0,,1,2,2,2,2.0,2,2,7,2.0,1,2,1.0,1,2,0.0,2,2
75170,Morocco,1,17479.787195066176,2,24.0,3,5,1.0,,1,2,2,2,2.0,2,2,2,2.0,1,4,2.0,1,1,0.0,2,2
75174,Morocco,1,15972.25386044981,2,19.0,2,2,1.0,,1,2,2,2,2.0,2,1,5,2.0,2,2,1.0,1,1,0.0,2,1
75178,Morocco,1,11253.95194809864,2,40.0,2,4,1.0,,0,2,2,2,1.0,2,2,1,2.0,2,2,3.0,1,1,0.0,2,1
75180,Morocco,1,10752.212555612712,2,40.0,1,3,1.0,,1,2,2,2,1.0,2,1,2,1.0,1,2,5.0,1,1,0.0,2,2
75181,Morocco,1,8579.38359728282,2,27.0,1,4,1.0,,1,2,2,2,2.0,1,2,3,2.0,1,4,1.0,1,1,0.0,2,1
75184,Morocco,1,14034.127786732352,2,20.0,1,2,1.0,,1,2,2,2,2.0,2,2,2,2.0,2,2,5.0,1,1,0.0,2,2
75185,Morocco,1,11037.827828658907,2,28.0,1,3,1.0,,1,2,2,2,2.0,2,1,2,2.0,2,4,1.0,1,1,0.0,2,2
75187,Morocco,1,63391.73390160058,2,37.0,1,4,1.0,,0,2,2,2,2.0,2,1,1,2.0,2,4,2.0,1,1,0.0,2,2
75188,Morocco,1,26015.611532104027,1,34.0,1,5,1.0,,1,2,1,1,1.0,2,1,1,2.0,1,4,2.0,1,2,0.0,2,2
75190,Morocco,1,10794.035811649897,2,35.0,3,5,1.0,,1,2,1,1,2.0,2,1,5,1.0,1,1,2.0,1,1,0.0,1,1
75191,Morocco,1,47936.94785681009,2,17.0,2,2,2.0,,0,2,2,2,2.0,2,2,2,2.0,2,4,5.0,1,1,0.0,2,2
75192,Morocco,1,10322.380247896754,2,25.0,1,3,1.0,,1,2,2,2,2.0,2,1,5,2.0,2,2,2.0,1,1,0.0,2,2
75193,Morocco,1,11877.767021078791,2,25.0,2,5,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,2,1.0,1,1,0.0,2,1
75194,Morocco,1,8224.860851997431,1,25.0,2,5,1.0,,1,1,2,2,1.0,2,2,3,2.0,1,4,5.0,1,1,1.0,2,1
75196,Morocco,1,37931.361095989545,1,20.0,2,3,2.0,,0,2,2,2,2.0,2,1,2,2.0,2,4,3.0,1,1,0.0,2,2
75198,Morocco,1,8499.85856434005,2,33.0,1,4,1.0,,1,2,2,2,2.0,1,1,2,2.0,1,2,5.0,1,1,0.0,2,2
75199,Morocco,1,11253.95194809864,2,35.0,2,4,1.0,,1,2,2,2,1.0,2,1,2,2.0,2,4,2.0,1,1,1.0,2,1
75204,Morocco,1,10545.723983302536,2,30.0,2,2,1.0,,1,2,2,1,2.0,2,1,3,2.0,2,2,2.0,1,1,0.0,2,2
75206,Morocco,1,55468.27298350272,2,43.0,1,2,2.0,,1,2,1,1,2.0,2,2,4,2.0,1,2,2.0,1,1,0.0,2,2
75208,Morocco,1,19163.306666292832,2,35.0,1,4,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,2,3.0,1,1,0.0,2,2
75210,Morocco,1,11037.827828658907,2,30.0,2,4,1.0,,1,2,2,2,2.0,2,2,4,2.0,2,2,2.0,1,1,0.0,2,2
75211,Morocco,1,17408.05174738541,1,53.0,1,1,1.0,,0,2,2,2,1.0,2,2,1,2.0,3,4,5.0,1,1,0.0,2,1
75213,Morocco,1,91670.79543180515,1,64.0,1,2,1.0,,1,2,2,2,2.0,2,1,2,2.0,2,2,2.0,1,2,0.0,2,2
75214,Morocco,1,25930.974914888702,2,24.0,2,5,1.0,,1,2,1,1,2.0,2,2,1,2.0,1,2,2.0,1,1,0.0,2,1
75222,Morocco,1,13830.24756479018,1,24.0,2,4,1.0,,1,2,2,2,1.0,2,1,2,2.0,2,2,5.0,1,1,0.0,2,2
75224,Morocco,1,23529.504157606174,2,35.0,1,2,1.0,,1,2,2,2,1.0,2,2,2,2.0,2,4,2.0,1,1,0.0,2,2
75232,Morocco,1,8426.472359969957,1,48.0,2,2,1.0,,0,2,2,2,2.0,2,1,2,2.0,2,2,3.0,1,1,0.0,2,2
75235,Morocco,1,9883.560180965358,2,49.0,3,5,1.0,,1,2,1,2,2.0,2,1,4,2.0,1,4,1.0,1,1,1.0,2,1
75237,Morocco,1,14165.431674451791,2,19.0,2,2,1.0,,0,2,2,2,2.0,2,1,1,2.0,2,4,5.0,1,1,0.0,2,1
75239,Morocco,1,18224.572216440978,2,18.0,1,3,1.0,,0,2,2,2,1.0,2,1,4,2.0,2,2,5.0,1,1,0.0,2,2
75244,Morocco,1,11578.030153194912,1,21.0,2,4,1.0,,1,2,2,2,2.0,2,2,1,2.0,2,1,3.0,1,1,0.0,2,1
75248,Morocco,1,62479.493153923984,1,36.0,1,2,1.0,,1,2,1,1,1.0,2,2,6,1.0,2,4,5.0,1,2,0.0,2,2
75252,Morocco,1,46386.03369849422,2,17.0,1,3,2.0,,1,2,2,2,1.0,2,1,1,2.0,2,2,2.0,1,1,0.0,2,2
75254,Morocco,1,10752.212555612712,2,36.0,1,5,1.0,,1,2,1,2,2.0,2,2,3,2.0,1,4,3.0,1,1,0.0,2,2
75256,Morocco,1,10085.87725810756,2,27.0,2,4,1.0,,1,2,2,2,2.0,2,1,1,1.0,1,2,1.0,1,2,0.0,2,1
75257,Morocco,1,11877.767021078791,2,25.0,2,4,1.0,,1,2,1,1,2.0,2,2,1,2.0,2,2,1.0,1,1,0.0,2,2
75261,Morocco,1,9807.957986990597,2,50.0,3,5,1.0,,1,2,1,1,1.0,2,2,1,1.0,1,2,1.0,1,1,0.0,2,1
75268,Morocco,1,8312.122562668465,2,35.0,2,5,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,1,1.0,1,1,0.0,2,1
75269,Morocco,1,18694.484737521856,1,19.0,2,1,1.0,,0,2,2,2,2.0,2,1,4,2.0,2,4,3.0,1,1,0.0,2,1
75273,Morocco,1,12715.719535636024,2,53.0,3,5,1.0,,1,2,2,2,2.0,2,2,1,2.0,1,2,1.0,1,1,0.0,2,2
75274,Morocco,1,8224.860851997431,2,25.0,3,3,1.0,,1,2,2,2,2.0,2,1,2,2.0,2,2,1.0,1,1,0.0,2,2
75275,Morocco,1,10764.895910670839,1,37.0,1,2,1.0,,0,2,1,2,1.0,2,1,3,2.0,2,2,5.0,1,2,0.0,2,2
75281,Morocco,1,14902.82256196018,1,20.0,2,2,1.0,,1,2,2,2,2.0,2,2,1,2.0,1,4,5.0,1,1,0.0,2,2
75289,Morocco,1,8991.016398353277,1,30.0,1,2,1.0,,1,2,2,2,1.0,1,2,7,2.0,1,2,5.0,1,1,0.0,2,2
75295,Morocco,1,23529.504157606174,2,40.0,1,1,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,1,2.0,1,2,0.0,2,2
75298,Morocco,1,10545.723983302536,2,32.0,2,1,1.0,,0,2,2,2,2.0,2,2,1,2.0,2,4,5.0,1,1,0.0,2,2
75302,Morocco,1,8666.288452185405,2,41.0,1,2,1.0,,1,2,2,2,1.0,1,1,3,2.0,1,1,5.0,1,1,0.0,2,2
75305,Morocco,1,11253.95194809864,2,43.0,2,5,1.0,,1,2,2,2,2.0,2,2,4,2.0,1,2,2.0,1,1,1.0,2,2
75310,Morocco,1,18224.572216440978,2,16.0,1,4,1.0,,0,2,2,2,2.0,2,2,2,2.0,2,4,2.0,1,1,0.0,2,2
75311,Morocco,1,8224.860851997431,1,28.0,3,5,1.0,,1,2,2,1,2.0,2,2,1,2.0,1,2,3.0,1,1,0.0,2,2
75313,Morocco,1,9883.560180965358,2,49.0,2,5,1.0,,1,2,2,2,1.0,1,1,2,1.0,1,4,5.0,1,1,0.0,2,2
75316,Morocco,1,30032.672570851708,1,40.0,2,5,2.0,,1,2,2,2,2.0,2,1,7,2.0,1,2,5.0,1,1,0.0,2,1
75317,Morocco,1,67126.91409839567,2,31.0,1,4,2.0,,1,2,1,2,2.0,2,2,7,2.0,2,4,3.0,1,1,0.0,2,2
75321,Morocco,1,10956.767584490291,2,45.0,1,5,1.0,,1,2,2,2,2.0,1,2,3,1.0,1,4,1.0,1,1,1.0,2,2
75324,Morocco,1,14902.82256196018,1,18.0,2,3,1.0,,1,2,2,2,2.0,2,1,2,2.0,2,4,2.0,1,1,0.0,2,2
75325,Morocco,1,9491.418532883436,2,28.0,3,5,1.0,,1,2,2,1,1.0,2,1,1,2.0,1,1,2.0,1,1,1.0,2,1
75330,Morocco,1,9594.833571582561,1,37.0,1,3,1.0,,1,2,2,2,1.0,2,1,1,2.0,2,2,5.0,1,1,0.0,2,2
75332,Morocco,1,8499.85856434005,2,25.0,1,4,1.0,,1,2,2,2,2.0,2,2,2,2.0,1,2,5.0,1,1,0.0,2,2
75333,Morocco,1,8224.860852126609,2,27.0,2,3,1.0,,1,2,2,2,2.0,2,2,3,2.0,1,2,5.0,1,1,1.0,2,2
75337,Morocco,1,8920.807375359653,2,35.0,3,5,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,2,4.0,1,1,0.0,2,1
75339,Morocco,1,8224.860851997431,1,32.0,2,5,1.0,,1,2,2,2,2.0,2,1,5,2.0,2,2,1.0,1,1,0.0,2,2
75341,Morocco,1,26397.64254143243,2,21.0,1,2,1.0,,1,2,2,2,2.0,2,1,5,2.0,1,4,4.0,1,1,0.0,2,2
75343,Morocco,1,8224.860851997431,1,25.0,2,4,1.0,,1,2,2,2,2.0,2,1,3,2.0,1,4,1.0,1,1,1.0,2,1
75344,Morocco,1,10126.682457404457,1,28.0,2,2,1.0,,1,2,2,2,2.0,2,2,1,2.0,1,2,5.0,1,1,0.0,2,1
75345,Morocco,1,12666.450401911097,2,45.0,1,3,1.0,,1,2,2,2,2.0,1,2,3,2.0,2,2,5.0,1,1,0.0,2,2
75349,Morocco,1,92688.43851813763,1,51.0,1,4,1.0,,0,2,2,2,2.0,2,2,7,2.0,2,4,5.0,1,2,0.0,2,2
75350,Morocco,1,30830.44232589184,1,29.0,3,5,2.0,,1,2,2,1,2.0,2,2,1,2.0,2,4,3.0,1,1,1.0,2,1
75351,Morocco,1,19057.713606490815,2,25.0,1,2,1.0,,1,1,2,1,2.0,2,1,3,2.0,2,4,1.0,1,1,1.0,2,1
75352,Morocco,1,16176.257180517445,2,43.0,1,3,1.0,,1,2,2,2,2.0,2,1,1,2.0,2,2,5.0,1,1,0.0,2,2
75356,Morocco,1,10859.718559013936,1,29.0,3,5,1.0,,1,2,2,1,1.0,2,1,1,2.0,1,4,5.0,1,1,1.0,2,1
75360,Morocco,1,15839.70281956585,2,32.0,1,2,1.0,,1,2,2,2,2.0,2,1,2,2.0,2,4,5.0,1,1,0.0,2,2
75366,Morocco,1,8228.769255283576,2,31.0,3,5,1.0,,1,2,2,2,2.0,2,1,3,2.0,1,4,2.0,1,1,1.0,2,1
75367,Morocco,1,11037.827828658907,2,26.0,1,3,1.0,,1,2,2,2,2.0,2,1,2,2.0,2,4,5.0,1,1,0.0,2,2
75372,Morocco,1,8228.769255283576,2,27.0,2,5,1.0,,1,2,1,1,2.0,2,1,2,2.0,1,2,1.0,1,1,1.0,2,1
75373,Morocco,1,8714.13656610315,2,40.0,1,5,1.0,,0,2,2,2,2.0,2,1,1,2.0,2,2,2.0,1,1,0.0,2,2
75377,Morocco,1,8224.860851997431,2,32.0,3,5,1.0,,1,1,2,1,2.0,2,1,3,2.0,2,1,1.0,1,1,1.0,2,1
75379,Morocco,1,14111.61269261573,2,18.0,2,2,1.0,,0,2,2,2,2.0,2,1,2,2.0,3,4,5.0,1,1,0.0,2,2
75382,Morocco,1,107522.31595647708,2,56.0,1,4,1.0,,1,2,2,2,2.0,1,2,7,1.0,1,2,5.0,1,1,0.0,2,2
75386,Morocco,1,18224.572216440978,2,22.0,1,5,1.0,,0,2,2,2,2.0,2,2,2,2.0,3,4,5.0,1,1,0.0,2,2
75392,Morocco,1,9300.908324964668,2,40.0,1,5,1.0,,0,2,2,2,2.0,2,2,3,2.0,2,4,2.0,1,1,0.0,2,2
75397,Morocco,1,8666.288452185405,2,36.0,1,3,1.0,,1,2,2,2,2.0,2,2,2,2.0,1,4,5.0,1,1,0.0,2,2
75398,Morocco,1,23963.60908085192,1,25.0,3,2,2.0,,0,2,2,2,2.0,2,2,2,2.0,2,4,5.0,1,1,0.0,2,2
75400,Morocco,1,11877.767021078791,2,33.0,3,5,1.0,,1,1,2,2,1.0,2,2,2,1.0,1,1,1.0,1,1,1.0,2,1
75401,Morocco,1,29724.957285061315,2,47.0,1,5,1.0,,1,2,2,1,2.0,2,2,2,1.0,1,1,1.0,1,1,1.0,2,1
75404,Morocco,1,19652.22511036568,2,30.0,1,5,1.0,,1,2,1,1,2.0,2,2,1,2.0,2,4,5.0,1,1,0.0,2,2
75405,Morocco,1,14057.076214113646,2,24.0,1,3,1.0,,1,2,2,2,2.0,2,2,3,1.0,1,4,1.0,1,1,0.0,2,1
75406,Morocco,1,38103.51685478722,2,20.0,1,5,1.0,,0,2,2,2,2.0,2,1,1,2.0,2,4,5.0,1,1,0.0,2,2
75407,Morocco,1,39453.15414886946,2,67.0,1,3,1.0,,1,2,2,2,2.0,1,2,7,2.0,2,1,1.0,1,1,0.0,2,1
75410,Morocco,1,14165.431674451791,2,22.0,2,3,1.0,,0,2,2,2,2.0,2,1,2,2.0,2,2,3.0,1,1,0.0,2,2
75411,Morocco,1,23753.017469865146,2,55.0,2,2,1.0,,1,2,2,2,2.0,2,1,4,2.0,2,2,1.0,1,1,0.0,2,2
75412,Morocco,1,8749.489633149396,2,29.0,3,5,1.0,,1,2,2,1,2.0,1,2,3,2.0,1,1,1.0,1,1,1.0,2,1
75413,Morocco,1,15131.087448864904,2,59.0,3,5,1.0,,1,2,2,2,2.0,1,2,2,1.0,1,1,1.0,1,1,1.0,2,2
75418,Morocco,1,11037.827828658907,2,26.0,1,3,1.0,,0,2,2,2,2.0,2,2,2,2.0,2,4,5.0,1,1,0.0,2,2
75423,Morocco,1,8224.860851997431,1,42.0,2,5,1.0,,1,2,2,1,2.0,2,2,1,2.0,1,4,1.0,1,1,0.0,2,2
75427,Morocco,1,8228.769255283576,2,30.0,3,5,1.0,,1,1,2,2,2.0,2,2,2,1.0,1,1,1.0,1,1,1.0,2,1
75428,Morocco,1,9410.57163707348,1,27.0,2,3,1.0,,0,2,2,2,2.0,2,1,3,2.0,2,4,5.0,1,1,0.0,2,2
75433,Morocco,1,8224.860851997431,1,26.0,2,5,1.0,,1,2,1,2,1.0,2,1,1,2.0,1,2,1.0,1,1,0.0,2,1
75434,Morocco,1,17332.479441192354,2,36.0,1,2,1.0,,0,2,2,2,2.0,2,1,7,2.0,2,4,5.0,1,2,0.0,2,2
75436,Morocco,1,10841.099486652949,1,50.0,2,5,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,4,5.0,1,1,1.0,2,1
75437,Morocco,1,41365.777901730384,2,40.0,2,3,2.0,,1,2,2,2,1.0,2,1,2,1.0,1,2,5.0,1,1,0.0,2,1
75438,Morocco,1,10114.751054608381,2,33.0,3,5,1.0,,1,2,2,2,2.0,2,2,3,2.0,1,1,1.0,1,1,1.0,2,1
75444,Morocco,1,8224.860851997431,1,44.0,3,5,1.0,,1,2,2,2,2.0,1,2,3,1.0,1,2,5.0,1,1,1.0,2,1
75445,Morocco,1,19025.039007536358,2,46.0,1,3,1.0,,1,2,2,2,2.0,2,2,3,2.0,2,2,2.0,1,1,0.0,2,2
75448,Morocco,1,53499.263879534636,2,80.0,2,1,2.0,,1,2,2,2,2.0,2,2,1,2.0,1,2,5.0,1,1,0.0,2,1
75449,Morocco,1,74677.49072135157,2,46.0,1,4,1.0,,1,2,2,2,2.0,1,2,7,2.0,2,4,2.0,1,2,0.0,2,2
75450,Morocco,1,10545.723983302536,2,28.0,2,5,1.0,,1,1,1,1,2.0,2,1,1,2.0,2,1,1.0,1,1,1.0,2,1
75452,Morocco,1,17479.787195066176,2,20.0,2,2,1.0,,1,1,2,2,2.0,2,2,5,2.0,1,2,5.0,1,1,1.0,2,1
75457,Morocco,1,14845.079140077783,1,24.0,2,2,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,4,1.0,1,1,0.0,2,1
75459,Morocco,1,23604.25277977788,2,50.0,1,4,1.0,,0,2,2,2,2.0,2,2,2,2.0,2,2,5.0,1,2,0.0,2,2
75460,Morocco,1,20037.02182154294,2,41.0,1,3,1.0,,0,2,2,2,2.0,2,2,7,2.0,2,4,5.0,1,1,0.0,2,2
75461,Morocco,1,15636.994418788096,2,58.0,2,1,1.0,,1,2,2,2,2.0,2,2,5,2.0,2,2,5.0,1,2,0.0,2,2
75465,Morocco,1,62250.42135344632,2,16.0,2,4,2.0,,0,2,2,2,2.0,2,1,5,2.0,2,4,5.0,1,2,0.0,2,2
75470,Morocco,1,35871.5823052845,2,54.0,3,1,1.0,,1,2,2,2,2.0,1,2,3,2.0,2,2,5.0,1,2,0.0,2,2
75476,Morocco,1,17479.787195066176,2,23.0,2,4,1.0,,1,2,2,2,1.0,2,2,2,2.0,1,4,5.0,1,1,0.0,2,2
75479,Morocco,1,8224.860852126609,2,28.0,1,2,1.0,,1,2,2,2,2.0,2,1,4,2.0,1,4,5.0,1,1,0.0,2,1
75480,Morocco,1,8546.787789361246,2,25.0,1,5,1.0,,0,2,1,2,2.0,2,2,1,2.0,2,2,2.0,1,1,0.0,2,2
75486,Morocco,1,9673.696921578896,2,34.0,2,1,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,2,1.0,1,1,0.0,2,2
75488,Morocco,1,8991.016398353277,1,29.0,1,4,1.0,,1,2,2,2,2.0,2,1,2,2.0,2,2,2.0,1,1,0.0,2,2
75490,Morocco,1,11984.706119192175,1,20.0,1,1,1.0,,0,2,2,2,1.0,2,1,2,2.0,2,4,5.0,1,1,0.0,2,2
75491,Morocco,1,11037.827828658907,2,29.0,2,4,1.0,,1,2,2,2,2.0,2,2,1,2.0,1,2,5.0,1,1,0.0,2,2
75495,Morocco,1,26152.954404002114,2,21.0,1,2,1.0,,1,2,2,2,2.0,2,1,3,2.0,2,2,2.0,1,1,0.0,2,1
75499,Morocco,1,8312.122562668465,2,37.0,3,5,1.0,,1,2,1,1,2.0,2,2,1,2.0,1,2,5.0,1,1,1.0,2,2
75508,Morocco,1,14111.61269261573,2,22.0,1,3,1.0,,0,2,2,2,2.0,2,1,1,2.0,2,2,3.0,1,1,0.0,2,2
75510,Morocco,1,9594.833571582561,1,36.0,1,1,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,2,5.0,1,2,0.0,2,2
75511,Morocco,1,10956.767584490291,2,47.0,2,3,1.0,,1,2,2,2,1.0,2,1,2,2.0,2,2,3.0,1,1,0.0,2,2
75514,Morocco,1,12715.719535636024,2,50.0,3,5,1.0,,1,2,2,1,2.0,1,1,3,1.0,1,1,3.0,1,1,1.0,2,1
75515,Morocco,1,9202.720755883509,1,36.0,2,5,1.0,,1,2,1,1,1.0,2,1,2,2.0,2,2,3.0,1,1,0.0,2,1
75516,Morocco,1,14111.61269261573,2,24.0,1,3,1.0,,1,2,1,2,2.0,2,1,3,2.0,2,2,5.0,1,1,0.0,2,2
75518,Morocco,1,59619.01468998505,2,38.0,1,4,1.0,,0,2,2,2,2.0,2,2,4,2.0,2,4,3.0,1,1,0.0,2,2
75519,Morocco,1,8680.459456912775,2,39.0,2,4,1.0,,0,2,2,2,2.0,2,1,1,2.0,2,2,2.0,1,1,0.0,2,2
75521,Morocco,1,8224.860851997431,1,30.0,3,5,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,2,2.0,1,1,1.0,2,2
75522,Morocco,1,10733.168042033705,2,40.0,3,5,1.0,,1,1,2,1,2.0,2,2,1,2.0,1,1,1.0,1,1,1.0,2,1
75525,Morocco,1,8385.90619879934,2,44.0,1,3,1.0,,0,2,2,2,2.0,2,2,4,1.0,2,2,5.0,1,1,0.0,2,2
75526,Morocco,1,10794.035811649897,2,36.0,3,5,1.0,,1,1,1,2,2.0,1,2,3,2.0,1,1,2.0,1,1,1.0,2,1
75530,Morocco,1,15865.60370029172,2,30.0,1,3,1.0,,0,2,2,2,2.0,2,1,4,2.0,2,4,2.0,1,1,0.0,2,2
75531,Morocco,1,30665.793018354037,2,55.0,1,4,1.0,,0,2,1,2,2.0,2,1,3,2.0,2,4,2.0,1,2,0.0,2,2
75532,Morocco,1,16149.84915245004,2,42.0,1,2,1.0,,0,2,2,2,2.0,2,2,2,2.0,2,2,2.0,1,2,0.0,2,2
75533,Morocco,1,11877.767021078791,2,27.0,3,2,1.0,,0,2,2,2,2.0,2,1,2,2.0,2,2,2.0,1,1,0.0,2,2
75540,Morocco,1,11303.02092899022,1,45.0,1,4,1.0,,0,2,2,2,1.0,2,1,2,2.0,2,2,3.0,1,1,0.0,2,2
75541,Morocco,1,13257.51545914811,2,48.0,1,3,1.0,,1,2,2,2,2.0,2,2,6,2.0,2,2,5.0,1,1,0.0,2,2
75544,Morocco,1,14266.364935794103,2,45.0,2,4,1.0,,1,2,1,1,2.0,2,2,2,1.0,1,2,1.0,1,1,0.0,2,2
75547,Morocco,1,8224.860851997431,2,28.0,3,5,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,1,1.0,1,1,1.0,2,1
75548,Morocco,1,15865.60370029172,2,25.0,1,3,1.0,,0,2,2,2,2.0,2,1,2,2.0,2,2,5.0,1,1,0.0,2,2
75551,Morocco,1,8224.860851997431,1,34.0,3,5,1.0,,1,1,2,2,2.0,1,1,2,2.0,1,4,1.0,1,1,1.0,2,1
75552,Morocco,1,8224.860851997431,1,25.0,2,5,1.0,,0,2,2,2,2.0,1,2,2,2.0,2,2,5.0,1,1,0.0,2,2
75554,Morocco,1,15927.156625092308,2,34.0,1,3,1.0,,0,2,2,2,2.0,2,2,3,2.0,2,4,5.0,1,1,0.0,2,2
75556,Morocco,1,10586.74405354109,2,30.0,3,5,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,2,5.0,1,1,0.0,2,2
75562,Morocco,1,13580.078698144727,2,20.0,2,2,1.0,,0,2,2,2,2.0,2,1,2,1.0,2,4,3.0,1,1,0.0,2,2
75564,Morocco,1,27035.851163708663,2,21.0,2,5,1.0,,0,2,2,2,2.0,2,1,1,2.0,2,4,2.0,1,1,0.0,2,2
75571,Morocco,1,15987.899742961094,2,34.0,1,4,1.0,,0,2,2,2,2.0,2,2,5,2.0,2,4,5.0,1,1,0.0,2,2
75573,Morocco,1,20569.273153907547,2,27.0,1,5,1.0,,1,1,2,2,2.0,2,1,2,2.0,2,1,2.0,1,1,1.0,2,1
75574,Morocco,1,8224.860851997431,1,32.0,3,5,1.0,,1,2,2,2,2.0,2,2,2,2.0,1,1,1.0,1,1,1.0,2,1
75576,Morocco,1,33961.95427688937,2,24.0,1,1,1.0,,0,2,1,1,1.0,2,1,3,2.0,2,4,3.0,1,1,0.0,2,2
75577,Morocco,1,8749.489633149396,2,30.0,3,5,1.0,,1,1,1,1,2.0,2,2,3,2.0,1,1,1.0,1,1,1.0,2,1
75586,Morocco,1,15987.899742961094,2,34.0,1,2,1.0,,0,2,2,2,2.0,2,2,4,2.0,2,4,2.0,1,1,0.0,2,2
75589,Morocco,1,8513.757425030148,2,31.0,2,4,1.0,,0,2,2,2,1.0,2,1,3,2.0,2,4,2.0,1,1,0.0,2,2
75596,Morocco,1,11544.13011355828,1,38.0,2,3,1.0,,0,2,2,2,2.0,2,2,1,2.0,2,2,3.0,1,1,0.0,2,2
75601,Morocco,1,12715.719535636024,2,51.0,2,5,1.0,,0,2,2,2,2.0,2,2,2,2.0,2,2,3.0,1,1,0.0,2,1
75602,Morocco,1,10375.555429697552,1,27.0,2,4,1.0,,1,2,2,1,2.0,2,1,2,2.0,1,2,2.0,1,1,1.0,2,1
75603,Morocco,1,8224.860852126609,2,25.0,1,2,1.0,,1,2,2,2,1.0,2,2,2,2.0,1,2,3.0,1,1,1.0,2,1
75604,Morocco,1,8362.702628907766,1,25.0,3,3,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,4,1.0,1,1,0.0,2,1
75607,Morocco,1,8749.489633149396,2,29.0,2,5,1.0,,1,2,2,2,2.0,1,1,3,2.0,2,1,1.0,1,1,0.0,2,1
75609,Morocco,1,29398.60161701567,2,56.0,1,4,1.0,,0,2,2,2,2.0,2,1,7,2.0,2,2,5.0,1,1,0.0,2,1
75611,Morocco,1,10956.767584490291,2,53.0,1,2,1.0,,1,2,2,2,2.0,2,2,7,2.0,1,4,5.0,1,2,0.0,2,2
75612,Morocco,1,8579.38359728282,2,28.0,1,3,1.0,,1,2,2,2,2.0,2,2,3,2.0,1,2,5.0,1,1,0.0,2,1
75613,Morocco,1,10794.035811649897,2,37.0,2,3,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,2,5.0,1,1,0.0,2,2
75617,Morocco,1,15537.807353050082,1,22.0,1,4,1.0,,0,2,2,2,1.0,2,2,1,1.0,2,2,5.0,1,1,0.0,2,2
75619,Morocco,1,10956.767584490291,2,45.0,2,3,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,2,5.0,1,1,0.0,2,2
75621,Morocco,1,8224.860851997431,1,27.0,3,5,1.0,,1,2,2,2,2.0,2,2,3,2.0,1,4,2.0,1,1,1.0,2,2
75622,Morocco,1,11037.827828658907,2,31.0,2,5,1.0,,0,2,2,2,2.0,2,2,2,2.0,2,2,5.0,1,1,0.0,2,1
75623,Morocco,1,12986.96354975353,2,36.0,3,1,1.0,,1,1,2,2,2.0,2,2,1,2.0,2,1,1.0,1,1,1.0,2,1
75626,Morocco,1,50904.18435175965,1,23.0,3,5,2.0,,1,2,2,2,2.0,2,2,1,2.0,2,4,1.0,1,1,0.0,2,2
75629,Morocco,1,11544.13011355828,1,40.0,1,3,1.0,,0,2,2,2,2.0,2,2,7,2.0,2,4,5.0,1,2,0.0,2,2
75631,Morocco,1,15327.237582109372,2,26.0,1,2,1.0,,0,2,1,1,2.0,2,1,2,2.0,2,2,2.0,1,1,0.0,2,2
75637,Morocco,1,9300.908324964668,2,41.0,2,5,1.0,,1,2,2,2,2.0,2,1,1,2.0,1,1,1.0,1,1,0.0,2,2
